#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SPECTRAL CONTENT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide spectral content at x/c=0.45 (Kulite 7)
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     EXAMPLE: 007.02
#
# 
#       NOMENCLATURE:
#               FREQ:   Frequency (Hz)
#          <p(Pa^2)>:   Pressure power spectral content
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "008.02"
# Column       1       2
VARIABLES =   "FREQ"  "<p(Pa^2)>"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "008"
477.66644022094863      2.5456319962058247
490.9349524493083      2.5452811880721944
504.203464677668      2.5456108959202797
517.4719769060276      2.546329378122745
530.7404891343874      2.5486677542822984
544.0090013627471      2.541231616283731
557.2775135911068      2.543240155064871
570.5460258194664      2.5432966085098867
583.8145380478261      2.541931556686259
597.0830502761858      2.542514706571906
610.3515625045454      2.5302841328600403
623.6200747329052      2.5505181761244993
636.8885869612649      2.5455214703179165
650.1570991896245      2.545626055859126
663.4256114179842      2.5457751277751295
676.6941236463439      2.5446749771526305
689.9626358747036      2.5355153139958047
703.2311481030632      2.545132280749109
716.499660331423      2.5443187574943975
729.7681725597827      2.544169429022003
743.0366847881423      2.545796743141042
756.305197016502      2.5471375510787113
769.5737092448617      2.5342017858268346
782.8422214732213      2.542160622935961
796.110733701581      2.5437822522068663
809.3792459299408      2.5434953340967446
822.6477581583005      2.5455283898443306
835.9162703866601      2.5457018667859304
849.1847826150198      2.5391838329837193
862.4532948433795      2.543301909217416
875.7218070717391      2.541832192200873
888.9903193000988      2.542636567239005
902.2588315284586      2.543514629819108
915.5273437568183      2.54465892085711
928.7958559851779      2.540799288348905
942.0643682135376      2.542168238074766
955.3328804418973      2.542291970752037
968.6013926702569      2.5418833758748463
981.8699048986166      2.54304471318237
995.1384171269764      2.5446929748052534
1008.406929355336      2.5418075035260164
1021.6754415836957      2.5430016215047813
1034.9439538120553      2.54202317933288
1048.2124660404152      2.5416176337081584
1061.4809782687748      2.5420327691127937
1074.7494904971345      2.541095457995035
1088.0180027254942      2.5426364369532717
1101.2865149538538      2.5429019647086584
1114.5550271822135      2.5425420507855088
1127.8235394105732      2.5419698669783592
1141.0920516389328      2.542842386863442
1154.3605638672925      2.54041036364308
1167.6290760956522      2.541751291027101
1180.8975883240118      2.542738346795573
1194.1661005523715      2.542119638833839
1207.4346127807312      2.541601280575227
1220.7031250090909      2.542074005710444
1233.9716372374508      2.542454170279637
1247.2401494658104      2.5424001520415858
1260.50866169417      2.5426947352438827
1273.7771739225298      2.5424442533000993
1287.0456861508894      2.5420045191380938
1300.314198379249      2.5413330880626086
1313.5827106076088      2.542925070873563
1326.8512228359684      2.542226190586281
1340.119735064328      2.542574571483714
1353.3882472926878      2.542408665219633
1366.6567595210474      2.5425619332229132
1379.925271749407      2.541860458620117
1393.1937839777668      2.5424887993653615
1406.4622962061264      2.5422697576344566
1419.7308084344863      2.542372710494011
1432.999320662846      2.542320327563052
1446.2678328912057      2.542463999333716
1459.5363451195653      2.5402760722015105
1472.804857347925      2.5421433105614257
1486.0733695762847      2.542151707929685
1499.3418818046443      2.5422510526153377
1512.610394033004      2.5421592879809802
1525.8789062613637      2.5422541151936584
1539.1474184897233      2.541992982702411
1552.415930718083      2.542102610421397
1565.6844429464427      2.5422522787441797
1578.9529551748024      2.54223898209723
1592.221467403162      2.542181272650446
1605.489979631522      2.542604394449879
1618.7584918598816      2.541535727559662
1632.0270040882413      2.5418871605857305
1645.295516316601      2.5420576912747
1658.5640285449606      2.542098916338805
1671.8325407733203      2.5419476319478673
1685.10105300168      2.5421258074211193
1698.3695652300396      2.5419146088520708
1711.6380774583993      2.5419651042949356
1724.906589686759      2.5420521728473613
1738.1751019151186      2.542142643972025
1751.4436141434783      2.542063357192676
1764.712126371838      2.5424056611432153
1777.9806386001976      2.541956112658395
1791.2491508285573      2.5419340069328342
1804.5176630569172      2.5419956283026073
1817.7861752852768      2.542033931378733
1831.0546875136365      2.5420265065841914
1844.3231997419962      2.5418593390984556
1857.5917119703558      2.5420012372747305
1870.8602241987155      2.541958362443648
1884.1287364270752      2.5419992663025397
1897.3972486554349      2.541956069074353
1910.6657608837945      2.541993710289493
1923.9342731121542      2.541993015524125
1937.2027853405139      2.542013015101825
1950.4712975688735      2.5419812037634024
1963.7398097972332      2.542021520767599
1977.0083220255929      2.5420417467255856
1990.2768342539528      2.54212081400444
2003.5453464823124      2.54184858648382
2016.813858710672      2.5419449349158874
2030.0823709390318      2.5419455956794064
2043.3508831673914      2.5419706637165995
2056.619395395751      2.541993693887279
2069.8879076241105      2.5421767473873262
2083.1564198524707      2.5418705732278384
2096.4249320808303      2.5419023111197787
2109.69344430919      2.5419229381166306
2122.9619565375497      2.541929011343273
2136.2304687659093      2.5419413560350335
2149.498980994269      2.542062598041907
2162.7674932226287      2.541921031378656
2176.0360054509883      2.5419108503182435
2189.304517679348      2.541905118165854
2202.5730299077077      2.5419244065540467
2215.8415421360673      2.5419204500922197
2229.110054364427      2.542004199490351
2242.3785665927867      2.5419513977884027
2255.6470788211464      2.541926202530979
2268.915591049506      2.5419103494857356
2282.1841032778657      2.541942795233708
2295.4526155062254      2.5419616486735817
2308.721127734585      2.5418503606709604
2321.9896399629447      2.5418896032055307
2335.2581521913044      2.5419144163665672
2348.526664419664      2.5419031028497354
2361.7951766480237      2.5419142016688436
2375.0636888763834      2.541918469586572
2388.332201104743      2.54189399370153
2401.6007133331027      2.5418904100392017
2414.8692255614624      2.5419031718750253
2428.137737789822      2.541886907029546
2441.4062500181817      2.5418994159280586
2454.674762246542      2.5418969105015248
2467.9432744749015      2.5419078541098137
2481.211786703261      2.541900980756875
2494.480298931621      2.541897164048524
2507.7488111599805      2.5418767253071977
2521.01732338834      2.541884330438787
2534.2858356167      2.5418729377046896
2547.5543478450595      2.541881781438136
2560.822860073419      2.541912074295411
2574.091372301779      2.541893826291098
2587.3598845301385      2.5418883845303037
2600.628396758498      2.541899418461925
2613.896908986858      2.541861897630787
2627.1654212152175      2.541871348756846
2640.433933443577      2.541890303795387
2653.702445671937      2.541879066968087
2666.9709579002965      2.541879187159232
2680.239470128656      2.541864221106772
2693.507982357016      2.541893929146667
2706.7764945853755      2.5418866880812057
2720.045006813735      2.541894446316952
2733.313519042095      2.5418862674709772
2746.5820312704545      2.5418814248998434
2759.850543498814      2.5419226519940037
2773.119055727174      2.541849893902428
2786.3875679555335      2.541865893109996
2799.656080183893      2.54186307536404
2812.924592412253      2.5418826132343315
2826.1931046406125      2.5418838836903084
2839.4616168689727      2.541968687259227
2852.7301290973323      2.5418520983711006
2865.998641325692      2.5418573427548106
2879.2671535540517      2.541843167033986
2892.5356657824113      2.5418599946545513
2905.804178010771      2.541855603519512
2919.0726902391307      2.541893958656354
2932.3412024674903      2.5418688063976957
2945.60971469585      2.541875731119566
2958.8782269242097      2.5418560892678292
2972.1467391525694      2.5418720358398006
2985.415251380929      2.5418898434947486
2998.6837636092887      2.541796323829111
3011.9522758376484      2.541849443058962
3025.220788066008      2.541847190792069
3038.4893002943677      2.5418471069329516
3051.7578125227274      2.5418648465499736
3065.026324751087      2.541873169849086
3078.2948369794467      2.541827485819252
3091.5633492078064      2.5418374489562345
3104.831861436166      2.5418260172962954
3118.1003736645257      2.5418454303703917
3131.3688858928854      2.5418540248139934
3144.637398121245      2.541840409142617
3157.9059103496047      2.5418383385228664
3171.1744225779644      2.541831454511139
3184.442934806324      2.5418294594682074
3197.7114470346837      2.541840100602354
3210.979959263044      2.541828519428585
3224.2484714914035      2.5417688581121953
3237.516983719763      2.541821895192271
3250.785495948123      2.541834056570767
3264.0540081764825      2.541829059632267
3277.322520404842      2.541830061447346
3290.591032633202      2.541810631615722
3303.8595448615615      2.541908428387062
3317.128057089921      2.541840383282229
3330.396569318281      2.5418444911576867
3343.6650815466405      2.541832940051704
3356.933593775      2.541840889047887
3370.20210600336      2.541841350780283
3383.4706182317195      2.541817422573657
3396.739130460079      2.541820709816752
3410.007642688439      2.54181853878413
3423.2761549167985      2.5418211894675964
3436.544667145158      2.5418235986997098
3449.813179373518      2.5417970506640537
3463.0816916018775      2.5418362543686976
3476.350203830237      2.54183134806987
3489.618716058597      2.5418334113001677
3502.8872282869565      2.541824228327044
3516.155740515316      2.541827612498295
3529.424252743676      2.5418418808315866
3542.6927649720355      2.541820500934206
3555.961277200395      2.5418119250957543
3569.229789428755      2.54182583200751
3582.4983016571146      2.5418073983501697
3595.7668138854747      2.5418227885212725
3609.0353261138343      2.541823916072687
3622.303838342194      2.5418253741448056
3635.5723505705537      2.5418233091694837
3648.8408627989133      2.5418176793021185
3662.109375027273      2.5418014386613943
3675.3778872556327      2.5417973177331796
3688.6463994839924      2.5418795921621324
3701.914911712352      2.54182432904622
3715.1834239407117      2.5418256219345983
3728.4519361690714      2.5418133227215844
3741.720448397431      2.5418106927858557
3754.9889606257907      2.541808830367262
3768.2574728541504      2.5418456340230677
3781.52598508251      2.541827368143174
3794.7944973108697      2.541820226506204
3808.0630095392294      2.541820282481716
3821.331521767589      2.541807635746186
3834.6000339959487      2.541799422415941
3847.8685462243084      2.541834565997603
3861.137058452668      2.541816595844735
3874.4055706810277      2.541823489338707
3887.6740829093874      2.5418162188136604
3900.942595137747      2.541814210693491
3914.2111073661067      2.541806901386911
3927.4796195944664      2.541818663992191
3940.748131822826      2.541815123112188
3954.0166440511857      2.541815653455485
3967.285156279546      2.541809999548566
3980.5536685079055      2.5418190429979775
3993.822180736265      2.5417696551773936
4007.090692964625      2.5418117117292582
4020.3592051929845      2.5418133443772057
4033.627717421344      2.541818714383322
4046.896229649704      2.541812084986026
4060.1647418780635      2.5418156445611646
4073.433254106423      2.541778717018825
4086.701766334783      2.5418014711931365
4099.9702785631425      2.5418024594750053
4113.238790791502      2.5418039026191517
4126.507303019862      2.5418094682892702
4139.775815248221      2.541798788742076
4153.044327476581      2.541806738881677
4166.312839704941      2.541808195325775
4179.5813519333005      2.541802767121331
4192.849864161661      2.5418006216877953
4206.11837639002      2.541799193433394
4219.38688861838      2.541787942869821
4232.655400846739      2.5418047171141622
4245.923913075099      2.541806695461694
4259.192425303459      2.5418082920162886
4272.460937531819      2.541811508192555
4285.729449760178      2.541801444969167
4298.997961988538      2.5418020433610073
4312.266474216897      2.5418060058574254
4325.534986445257      2.5418031699943757
4338.803498673617      2.541803627284141
4352.072010901977      2.541793788195981
4365.340523130336      2.5418036218094717
4378.609035358696      2.541824818723682
4391.877547587055      2.541802406193681
4405.146059815415      2.5418081626388664
4418.414572043775      2.541810713092972
4431.683084272135      2.5418042565958814
4444.951596500494      2.5418280577304304
4458.220108728854      2.5417764838842767
4471.488620957213      2.54179166384093
4484.757133185573      2.5418053032937196
4498.025645413933      2.541800126739633
4511.294157642293      2.541794388166585
4524.562669870652      2.5418136120124375
4537.831182099012      2.541792262320956
4551.099694327372      2.541795806934335
4564.368206555731      2.541801512282698
4577.6367187840915      2.5417983481948156
4590.905231012451      2.5417930691790525
4604.173743240811      2.541809037401759
4617.44225546917      2.541788539306148
4630.71076769753      2.5417926953864116
4643.979279925889      2.5417946734015375
4657.2477921542495      2.541797951981222
4670.516304382609      2.541795431564895
4683.784816610969      2.5417852555044878
4697.053328839328      2.5418015235986973
4710.321841067688      2.541803015037745
4723.590353296047      2.541791159513796
4736.8588655244075      2.541796161754053
4750.127377752767      2.541801364479206
4763.395889981127      2.5417901915220096
4776.664402209486      2.5417927750210527
4789.932914437846      2.5417925433972157
4803.201426666205      2.541800226958082
4816.4699388945655      2.5417963114326962
4829.738451122925      2.541790188799958
4843.006963351285      2.5417831931011277
4856.275475579644      2.5417878357136856
4869.543987808004      2.5418013236351857
4882.812500036363      2.5417907455130604
4896.0810122647235      2.5417887223005806
4909.349524493084      2.5417947899035105
4922.618036721443      2.541790243385763
4935.886548949803      2.5417927166262273
4949.155061178162      2.54178603882356
4962.423573406522      2.541787127964724
4975.692085634882      2.541797444716514
4988.960597863242      2.5417912638709166
5002.229110091601      2.5417952026369166
5015.497622319961      2.5417985561865626
5028.76613454832      2.541781736215315
5042.03464677668      2.5417919516603025
5055.30315900504      2.5417958695914775
5068.5716712334      2.5417842445835266
5081.840183461759      2.5417952961004446
5095.108695690119      2.541790739169979
5108.377207918478      2.541787166378637
5121.645720146838      2.5417910911427475
5134.914232375198      2.5417949102702995
5148.182744603558      2.5417947415066338
5161.451256831917      2.5417877056547726
5174.719769060277      2.541791979413888
5187.988281288636      2.541787839801175
5201.256793516996      2.5417947913839276
5214.525305745356      2.541808544286249
5227.793817973716      2.54177011931936
5241.062330202075      2.541777506069153
5254.330842430435      2.5417916227622936
5267.599354658794      2.5417840530569675
5280.867866887154      2.541789116549338
5294.1363791155145      2.5418082718592454
5307.404891343874      2.5417819403772683
5320.673403572234      2.5417843086195337
5333.941915800593      2.5417829352019097
5347.210428028953      2.5417802345144467
5360.478940257312      2.5417788779650574
5373.7474524856725      2.5417776515436703
5387.015964714032      2.54177266508372
5400.284476942392      2.5417849047816
5413.552989170751      2.541790842185039
5426.821501399111      2.541785431920943
5440.09001362747      2.5417744398961943
5453.3585258558305      2.5417937571707436
5466.62703808419      2.541795354148472
5479.89555031255      2.5417856655900732
5493.164062540909      2.541788378769003
5506.432574769269      2.5417851231686766
5519.701086997628      2.541787370478858
5532.9695992259885      2.541783839566805
5546.238111454348      2.541786289929519
5559.506623682708      2.5417759574807097
5572.775135911067      2.5417815558466996
5586.043648139427      2.5417846979125462
5599.312160367786      2.5417746787678066
5612.5806725961465      2.5417891478457264
5625.849184824506      2.5417897602778625
5639.117697052866      2.541786506959314
5652.386209281225      2.5417827698460957
5665.654721509585      2.5417851191084555
5678.923233737945      2.541795768353207
5692.191745966305      2.5417832556675934
5705.460258194665      2.541778109966904
5718.728770423024      2.541784373324411
5731.997282651384      2.5417802082358443
5745.265794879743      2.5417826605487437
5758.534307108103      2.5418001813473063
5771.802819336463      2.5417823825109647
5785.071331564823      2.5417789454652486
5798.339843793182      2.5417798075322193
5811.608356021542      2.541780665920521
5824.876868249901      2.541787562151122
5838.145380478261      2.5417834944920075
5851.413892706621      2.541777493510837
5864.682404934981      2.541781779800209
5877.95091716334      2.5417779230864754
5891.2194293917      2.541781433267624
5904.487941620059      2.541785247014342
5917.756453848419      2.5417845056770316
5931.024966076779      2.5417836108244436
5944.293478305139      2.5417825302875823
5957.561990533498      2.541780499141983
5970.830502761858      2.541781141529894
5984.099014990217      2.541790659302679
5997.367527218577      2.541771261978686
6010.636039446937      2.541779725850714
6023.904551675297      2.5417792377241346
6037.173063903656      2.5417801930866957
6050.441576132016      2.5417782367606483
6063.710088360376      2.541771991784634
6076.978600588735      2.5417762337516008
6090.2471128170955      2.5417787902371236
6103.515625045455      2.541781274981378
6116.784137273815      2.541780550751557
6130.052649502174      2.541778887651337
6143.321161730534      2.541785492381508
6156.589673958893      2.5417799521119253
6169.8581861872535      2.5417793158123203
6183.126698415613      2.5417773472370726
6196.395210643973      2.541775124487363
6209.663722872332      2.5417789023781996
6222.932235100692      2.5417745863383563
6236.200747329051      2.5417784794596465
6249.4692595574115      2.541777493706191
6262.737771785771      2.5417781810164364
6276.006284014131      2.5417791810858525
6289.27479624249      2.5417773974495406
6302.54330847085      2.541778197000051
6315.811820699209      2.5417743457708823
6329.0803329275695      2.541782203439218
6342.348845155929      2.541779858436675
6355.617357384289      2.541777085197589
6368.885869612648      2.5417714725040423
6382.154381841008      2.5417766015982775
6395.422894069367      2.5417685921341406
6408.691406297728      2.5417742173168785
6421.959918526088      2.5417805088124092
6435.228430754447      2.5417785123557475
6448.496942982807      2.5417790000807527
6461.765455211166      2.5417756568213816
6475.033967439526      2.541780230554701
6488.302479667886      2.541774480049987
6501.570991896246      2.5417746580470215
6514.839504124605      2.5417797339460835
6528.108016352965      2.541768335117069
6541.376528581324      2.541775726861928
6554.645040809684      2.541774167773632
6567.913553038044      2.5417787614951237
6581.182065266404      2.5417835415746475
6594.450577494763      2.5417744205958517
6607.719089723123      2.5417729149853887
6620.987601951482      2.541777856501652
6634.256114179842      2.5417715620392194
6647.524626408202      2.5417752979751613
6660.793138636562      2.541783411664276
6674.061650864921      2.541776470655664
6687.330163093281      2.541778071418326
6700.59867532164      2.5417777222094533
6713.86718755      2.541770529035291
6727.13569977836      2.5417685317644865
6740.40421200672      2.541766508994135
6753.672724235079      2.541774332908557
6766.941236463439      2.5417758367445473
6780.209748691798      2.541778963199269
6793.478260920158      2.5417721763595447
6806.7467731485185      2.541773111610476
6820.015285376878      2.541769006867201
6833.283797605238      2.5417770706173015
6846.552309833597      2.5417734950611313
6859.820822061957      2.541779885095789
6873.089334290316      2.541773013796728
6886.3578465186765      2.541773264712803
6899.626358747036      2.5417719874936706
6912.894870975396      2.5417826697228807
6926.163383203755      2.5417748888676885
6939.431895432115      2.541779703672951
6952.700407660474      2.541779438914799
6965.9689198888345      2.541777214860828
6979.237432117194      2.5417783139889223
6992.505944345554      2.5417676639568665
7005.774456573913      2.541769414125214
7019.042968802273      2.541771962711654
7032.311481030632      2.5417755847413788
7045.5799932589925      2.541773866449752
7058.848505487352      2.54177369026618
7072.117017715712      2.5417682253115386
7085.385529944071      2.541773138995022
7098.654042172431      2.541776480922016
7111.92255440079      2.5417665447962756
7125.191066629151      2.541770293608851
7138.45957885751      2.5417760717260927
7151.72809108587      2.5417701034616735
7164.996603314229      2.541772116648857
7178.265115542589      2.541777854687349
7191.533627770949      2.5417775632610815
7204.802139999309      2.5417747804135766
7218.070652227669      2.5417675139183884
7231.339164456028      2.541771667828224
7244.607676684388      2.5417749730288484
7257.876188912747      2.541760974521517
7271.144701141107      2.5417689631546376
7284.413213369467      2.541774087852582
7297.681725597827      2.5417750559965238
7310.950237826186      2.541768802263036
7324.218750054546      2.541773205844238
7337.487262282905      2.5417713574470864
7350.755774511265      2.5417716787120854
7364.024286739625      2.541777004722252
7377.292798967985      2.5417695020235147
7390.561311196344      2.5417720571948625
7403.829823424704      2.541774772706761
7417.098335653063      2.5417723427971737
7430.366847881423      2.5417692341025684
7443.635360109783      2.541766487418453
7456.903872338143      2.5417733741622244
7470.172384566502      2.5417687906064317
7483.440896794862      2.5417709691864614
7496.709409023221      2.5417711820948
7509.977921251581      2.5417661007905235
7523.246433479941      2.5417746956201297
7536.514945708301      2.541771157823579
7549.783457936661      2.541771957267763
7563.05197016502      2.5417711188183545
7576.32048239338      2.541775668789831
7589.588994621739      2.541774231480194
7602.8575068500995      2.5417796722833885
7616.126019078459      2.54177340299977
7629.394531306819      2.541767368774901
7642.663043535178      2.541773880453434
7655.931555763538      2.541770265357765
7669.200067991897      2.541766278324555
7682.4685802202575      2.5417731582979983
7695.737092448617      2.541775501287108
7709.005604676977      2.541768373400953
7722.274116905336      2.541769756860017
7735.542629133696      2.54176993861075
7748.811141362055      2.5417710829943387
7762.079653590416      2.5417670705442945
7775.348165818775      2.5417634141260432
7788.616678047135      2.541770599513167
7801.885190275494      2.541772338315295
7815.153702503854      2.541771256866337
7828.422214732213      2.5417722994912726
7841.690726960574      2.5417727512052637
7854.959239188933      2.54177312546099
7868.227751417293      2.541766175528159
7881.496263645652      2.541769789280948
7894.764775874012      2.541768640928372
7908.033288102371      2.541767969766156
7921.301800330732      2.5417640677850986
7934.570312559092      2.541769031350458
7947.838824787451      2.5417679638085127
7961.107337015811      2.5417725043257597
7974.37584924417      2.541771193524835
7987.64436147253      2.5417735049673844
8000.91287370089      2.5417721522682037
8014.18138592925      2.541771140017677
8027.449898157609      2.5417701900327265
8040.718410385969      2.541768075033428
8053.986922614328      2.541771759872657
