3 150333 3.53696e-04 0.73 3000000 3.60 0.92634554132219 0.04591975065950 -0.12172423885628 0.09606056250105 0.00787332759021 0.02504997081250
3 150333 3.53696e-04 0.73 3000000 3.90 0.92057615796455 0.05103149794482 -0.11979369029963 0.11553147003208 0.00948707178277 0.02843376555339


ZONE T="023.01 - GRID LEVEL 4"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-4.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
4 235491 2.62231e-04 0.73 3000000 1.36 0.78092590052964 0.01354822006131 -0.13179838500000 0.00000008738809 0.00000001128169 0.00000004500000
4 235491 2.62231e-04 0.73 3000000 1.50 0.81028278139548 0.01480808168331 -0.13285907000000 0.00000018382124 0.00000001753161 0.00000008000000
4 235491 2.62231e-04 0.73 3000000 2.50 0.94639828464637 0.02868125950958 -0.13647076000000 0.00000000000000 0.00000000000000 0.00000000000000
4 235491 2.62231e-04 0.73 3000000 3.00 0.95337513297650 0.03617777186617 -0.12952222383433 0.00430319648283 0.00036665868373 0.00129049057955
4 235491 2.62231e-04 0.73 3000000 3.10 0.94997049980175 0.03777538366553 -0.12812337493729 0.03353422508341 0.00283069858720 0.00982273799270
4 235491 2.62231e-04 0.73 3000000 3.25 0.94468584428243 0.04019029362195 -0.12617123528751 0.05573298986614 0.00466363828462 0.01576575066706
4 235491 2.62231e-04 0.73 3000000 3.40 0.93893704384477 0.04271187758872 -0.12461183332890 0.07263756204664 0.00605961181419 0.01991093885508
4 235491 2.62231e-04 0.73 3000000 3.50 0.93674429296115 0.04430170187857 -0.12351566082891 0.08248609447128 0.00684294838401 0.02208155258996
4 235491 2.62231e-04 0.73 3000000 3.60 0.93276929428118 0.04598125795746 -0.12260580688079 0.09266684879616 0.00765223563748 0.02424079732260
4 235491 2.62231e-04 0.73 3000000 3.90 0.92434766755436 0.05099006198846 -0.12036752880843 0.11670942991292 0.00956526290759 0.02861397308795


ZONE T="023.01 - GRID LEVEL 5"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
5 353725 1.99935e-04 0.73 3000000 1.36 0.78145209721175 0.01353395747959 -0.13187975500000 0.00000029987838 0.00000014428109 0.00000023500000
5 353725 1.99935e-04 0.73 3000000 1.50 0.81066609104139 0.01479616808943 -0.13292494623762 0.00014565269934 0.00001563914493 0.00008370598910
5 353725 1.99935e-04 0.73 3000000 2.50 0.94584575910541 0.02865285976578 -0.13635830000000 0.00000019123069 0.00000006428117 0.00000018000000
5 353725 1.99935e-04 0.73 3000000 3.00 0.95704747289723 0.03632907241351 -0.13045571160156 0.00055854833522 0.00004796869050 0.00016803320972
5 353725 1.99935e-04 0.73 3000000 3.10 0.95238604133105 0.03782513474257 -0.12871633702809 0.03511016903078 0.00296023156507 0.01029124150465
5 353725 1.99935e-04 0.73 3000000 3.25 0.94498090150652 0.04022315766723 -0.12651308124756 0.05949065034141 0.00493109162033 0.01675749726110
5 353725 1.99935e-04 0.73 3000000 3.40 0.93891927276431 0.04271706110486 -0.12486727502618 0.07674686177263 0.00633714897632 0.02094887805590
5 353725 1.99935e-04 0.73 3000000 3.50 0.93538695226080 0.04431804339030 -0.12372394150460 0.08720128793575 0.00717882945960 0.02327882389131
5 353725 1.99935e-04 0.73 3000000 3.60 0.93437426612277 0.04597502479661 -0.12298605541636 0.09359783045178 0.00771109546599 0.02454328899157
5 353725 1.99935e-04 0.73 3000000 3.90 0.93611291884757 0.05138985418393 -0.12195652924419 0.11006430199106 0.00922560483426 0.02757213071395


ZONE T="023.01 - ALPHA 1.36"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 1.36 0.76808574948991 0.01361331613414 -0.12931048500000 0.00000005845277 0.00000000047438 0.00000000500000
2 89616 4.99355e-04 0.73 3000000 1.36 0.78029302597686 0.01366100618509 -0.13173476000000 0.00000027172957 0.00000008870386 0.00000037000000
3 150333 3.53696e-04 0.73 3000000 1.36 0.78125098000788 0.01359254393234 -0.13194766500000 0.00000011573207 0.00000000756919 0.00000007500000
4 235491 2.62231e-04 0.73 3000000 1.36 0.78092590052964 0.01354822006131 -0.13179838500000 0.00000008738809 0.00000001128169 0.00000004500000
5 353725 1.99935e-04 0.73 3000000 1.36 0.78145209721175 0.01353395747959 -0.13187975500000 0.00000029987838 0.00000014428109 0.00000023500000


ZONE T="023.01 - ALPHA 1.50"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 1.50 0.79639920051819 0.01477345654293 -0.13002746000000 0.00000000207389 0.00000000159240 0.00000000000000
2 89616 4.99355e-04 0.73 3000000 1.50 0.80988175409596 0.01492509564234 -0.13284253500000 0.00000111448924 0.00000022606635 0.00000099500000
3 150333 3.53696e-04 0.73 3000000 1.50 0.81082301154427 0.01485430457245 -0.13304514000000 0.00000015670911 0.00000001148106 0.00000011000000
4 235491 2.62231e-04 0.73 3000000 1.50 0.81028278139548 0.01480808168331 -0.13285907000000 0.00000018382124 0.00000001753161 0.00000008000000
5 353725 1.99935e-04 0.73 3000000 1.50 0.81066609104139 0.01479616808943 -0.13292494623762 0.00014565269934 0.00001563914493 0.00008370598910


ZONE T="023.01 - ALPHA 2.50"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 2.50 0.92483348191500 0.02765710257654 -0.13095871500000 0.00000002171855 0.00000000056099 0.00000000500000
2 89616 4.99355e-04 0.73 3000000 2.50 0.94496225824270 0.02867763052401 -0.13608147000000 0.00000000000000 0.00000000000000 0.00000000000000
3 150333 3.53696e-04 0.73 3000000 2.50 0.94689347128080 0.02867440426784 -0.13649425000000 0.00000000000000 0.00000000000000 0.00000000000000
4 235491 2.62231e-04 0.73 3000000 2.50 0.94639828464637 0.02868125950958 -0.13647076000000 0.00000000000000 0.00000000000000 0.00000000000000
5 353725 1.99935e-04 0.73 3000000 2.50 0.94584575910541 0.02865285976578 -0.13635830000000 0.00000019123069 0.00000006428117 0.00000018000000


ZONE T="023.01 - ALPHA 3.00"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 3.00 0.91244835264420 0.03485607094736 -0.12192541533987 0.03976426137867 0.00308308753327 0.01121599863723
2 89616 4.99355e-04 0.73 3000000 3.00 0.94085661886340 0.03597565496375 -0.12683621835570 0.02379097067271 0.00197726985550 0.00710032327002
3 150333 3.53696e-04 0.73 3000000 3.00 0.94585083676042 0.03603943928059 -0.12813740759370 0.02810079907941 0.00233287470769 0.00838783899177
4 235491 2.62231e-04 0.73 3000000 3.00 0.95337513297650 0.03617777186617 -0.12952222383433 0.00430319648283 0.00036665868373 0.00129049057955
5 353725 1.99935e-04 0.73 3000000 3.00 0.95704747289723 0.03632907241351 -0.13045571160156 0.00055854833522 0.00004796869050 0.00016803320972


ZONE T="023.01 - ALPHA 3.10"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 3.10 0.90536639349656 0.03643016833166 -0.11967479905072 0.05155778119020 0.00395063034005 0.01412769014275
2 89616 4.99355e-04 0.73 3000000 3.10 0.93466404589624 0.03759185102174 -0.12526715065574 0.04531012608167 0.00370147753590 0.01310747765869
3 150333 3.53696e-04 0.73 3000000 3.10 0.94208228068308 0.03764011018635 -0.12673557997766 0.04498627230910 0.00370311506715 0.01306895933417
4 235491 2.62231e-04 0.73 3000000 3.10 0.94997049980175 0.03777538366553 -0.12812337493729 0.03353422508341 0.00283069858720 0.00982273799270
5 353725 1.99935e-04 0.73 3000000 3.10 0.95238604133105 0.03782513474257 -0.12871633702809 0.03511016903078 0.00296023156507 0.01029124150465


ZONE T="023.01 - ALPHA 3.25"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 3.25 0.90145193671588 0.03886105835859 -0.11776152508133 0.06510289373329 0.00498503024356 0.01725829238186
2 89616 4.99355e-04 0.73 3000000 3.25 0.92780482835899 0.03996627568404 -0.12322251961995 0.06669468136347 0.00536993114391 0.01850390567676
3 150333 3.53696e-04 0.73 3000000 3.25 0.93700343671174 0.04007862731033 -0.12491983485800 0.06301657353078 0.00517025245347 0.01767955449064
4 235491 2.62231e-04 0.73 3000000 3.25 0.94468584428243 0.04019029362195 -0.12617123528751 0.05573298986614 0.00466363828462 0.01576575066706
5 353725 1.99935e-04 0.73 3000000 3.25 0.94498090150652 0.04022315766723 -0.12651308124756 0.05949065034141 0.00493109162033 0.01675749726110


ZONE T="023.01 - ALPHA 3.40"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 3.40 0.89578888356361 0.04139866567463 -0.11658923490554 0.08236605737131 0.00626942717897 0.02099443349079
2 89616 4.99355e-04 0.73 3000000 3.40 0.92240195929890 0.04242204055628 -0.12166528678092 0.08253005060874 0.00662485508623 0.02211478966076
3 150333 3.53696e-04 0.73 3000000 3.40 0.93206892738969 0.04261800131721 -0.12346601844244 0.07822373234564 0.00643325509525 0.02128675764379
4 235491 2.62231e-04 0.73 3000000 3.40 0.93893704384477 0.04271187758872 -0.12461183332890 0.07263756204664 0.00605961181419 0.01991093885508
5 353725 1.99935e-04 0.73 3000000 3.40 0.93891927276431 0.04271706110486 -0.12486727502618 0.07674686177263 0.00633714897632 0.02094887805590


ZONE T="023.01 - ALPHA 3.50"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 3.50 0.89260040349163 0.04307461032630 -0.11591857027900 0.09208341631764 0.00699458879314 0.02290972343176
2 89616 4.99355e-04 0.73 3000000 3.50 0.91890855683343 0.04411571673639 -0.12083945330844 0.09160129787174 0.00735219506455 0.02402484244807
3 150333 3.53696e-04 0.73 3000000 3.50 0.92933790735184 0.04425508307101 -0.12255034742470 0.08718974155745 0.00716159464713 0.02323509624108
4 235491 2.62231e-04 0.73 3000000 3.50 0.93674429296115 0.04430170187857 -0.12351566082891 0.08248609447128 0.00684294838401 0.02208155258996
5 353725 1.99935e-04 0.73 3000000 3.50 0.93538695226080 0.04431804339030 -0.12372394150460 0.08720128793575 0.00717882945960 0.02327882389131


ZONE T="023.01 - ALPHA 3.60"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 3.60 0.89191705076444 0.04471979951827 -0.11513428952256 0.09764826596264 0.00745686910997 0.02387279011320
2 89616 4.99355e-04 0.73 3000000 3.60 0.91589225031367 0.04576892687992 -0.12003740852765 0.10003604368511 0.00802392456049 0.02567229721294
3 150333 3.53696e-04 0.73 3000000 3.60 0.92634554132219 0.04591975065950 -0.12172423885628 0.09606056250105 0.00787332759021 0.02504997081250
4 235491 2.62231e-04 0.73 3000000 3.60 0.93276929428118 0.04598125795746 -0.12260580688079 0.09266684879616 0.00765223563748 0.02424079732260
5 353725 1.99935e-04 0.73 3000000 3.60 0.93437426612277 0.04597502479661 -0.12298605541636 0.09359783045178 0.00771109546599 0.02454328899157


ZONE T="023.01 - ALPHA 3.90"
AUXDATA Tstatic         = "273.0"
AUXDATA Dt              = "0.086375"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1-2-3-4-5.cgns"
AUXDATA Misc            = "Time step Dt is given in CTU unit"
1 47187 7.65805e-04 0.73 3000000 3.90 0.88795599157596 0.04976378224829 -0.11346476320471 0.11584947381569 0.00891828128366 0.02667604327056
2 89616 4.99355e-04 0.73 3000000 3.90 0.90759141364583 0.05087264683701 -0.11831986674925 0.12195806582697 0.00982496780992 0.02948315636659
3 150333 3.53696e-04 0.73 3000000 3.90 0.92057615796455 0.05103149794482 -0.11979369029963 0.11553147003208 0.00948707178277 0.02843376555339
4 235491 2.62231e-04 0.73 3000000 3.90 0.92434766755436 0.05099006198846 -0.12036752880843 0.11670942991292 0.00956526290759 0.02861397308795
5 353725 1.99935e-04 0.73 3000000 3.90 0.93611291884757 0.05138985418393 -0.12195652924419 0.11006430199106 0.00922560483426 0.02757213071395


