DATASETAUXDATA TurbulenceModel = "No turbulence model (Implicit LES)"
DATASETAUXDATA GridId          = "Tet"
DATASETAUXDATA Notes           = ""


ZONE T="032.01 - ALPHA 4.84 - GRID CUSTOM01 - WING SECTION  1"
AUXDATA GridLevel       = "CUSTOM01"
AUXDATA Mach            = "0.85"
AUXDATA Re              = "1e5"
AUXDATA Alpha           = "4.84"
AUXDATA Tstatic         = "271.0"
AUXDATA CLtotal         = "-999"
AUXDATA Eta             = "0.5"
AUXDATA Dt              = ""
AUXDATA CtuStart        = ""
AUXDATA CtuAvg          = ""
AUXDATA GridFileName    = ""

0.001561 0.000500 0.000079 1.000000 1.182221 -999 -999 -999
0.001561 0.000500 0.000079 1.000000 1.185900 -999 -999 -999
0.001561 0.000500 0.000079 1.000000 1.184158 -999 -999 -999
0.001561 0.000500 0.000079 0.997380 1.166258 -999 -999 -999
0.001559 0.000500 0.000079 0.992889 1.145621 -999 -999 -999
0.001560 0.000500 0.000079 0.995883 1.114647 -999 -999 -999
0.001559 0.000500 0.000080 0.993263 1.058863 -999 -999 -999
0.001504 0.000500 0.000081 0.784805 1.076942 -999 -999 -999
0.001504 0.000500 0.000081 0.785554 1.077321 -999 -999 -999
0.001494 0.000500 0.000080 0.748877 1.066284 -999 -999 -999
0.001489 0.000500 0.000080 0.730539 1.063274 -999 -999 -999
0.001482 0.000500 0.000079 0.702470 1.048989 -999 -999 -999
0.001472 0.000500 0.000079 0.667665 1.038600 -999 -999 -999
0.001477 0.000500 0.000079 0.685254 1.034495 -999 -999 -999
0.001492 0.000500 0.000095 0.739521 0.880977 -999 -999 -999
0.001502 0.000500 0.000093 0.777320 0.867139 -999 -999 -999
0.001503 0.000500 0.000093 0.782934 0.872741 -999 -999 -999
0.001486 0.000500 0.000096 0.716692 0.856809 -999 -999 -999
0.001478 0.000500 0.000097 0.688997 0.857388 -999 -999 -999
0.001294 0.000500 0.000101 0.000374 1.130142 -999 -999 -999
0.001294 0.000500 0.000101 0.000000 1.103968 -999 -999 -999
0.001294 0.000500 0.000102 0.000374 1.078658 -999 -999 -999
0.001294 0.000500 0.000102 0.001497 0.990642 -999 -999 -999
0.001294 0.000500 0.000100 0.000749 1.234158 -999 -999 -999
0.001556 0.000500 0.000080 0.979042 1.132132 -999 -999 -999
0.001555 0.000500 0.000080 0.977545 1.133505 -999 -999 -999
0.001547 0.000500 0.000081 0.947979 1.156858 -999 -999 -999
0.001555 0.000500 0.000080 0.974925 1.134437 -999 -999 -999
0.001534 0.000500 0.000082 0.899701 1.141989 -999 -999 -999
0.001533 0.000500 0.000082 0.893713 1.141911 -999 -999 -999
0.001535 0.000500 0.000082 0.903443 1.142037 -999 -999 -999
0.001537 0.000500 0.000082 0.909431 1.145716 -999 -999 -999
0.001542 0.000500 0.000082 0.927021 1.150568 -999 -999 -999
0.001545 0.000500 0.000082 0.938623 1.151968 -999 -999 -999
0.001523 0.000500 0.000082 0.858159 1.119037 -999 -999 -999
0.001530 0.000500 0.000082 0.882111 1.132737 -999 -999 -999
0.001519 0.000500 0.000082 0.840569 1.112258 -999 -999 -999
0.001511 0.000500 0.000081 0.813623 1.099426 -999 -999 -999
0.001433 0.000500 0.000078 0.520210 1.047200 -999 -999 -999
0.001435 0.000500 0.000078 0.527320 1.046437 -999 -999 -999
0.001430 0.000500 0.000078 0.508982 1.044658 -999 -999 -999
0.001454 0.000500 0.000078 0.599551 1.041611 -999 -999 -999
0.001456 0.000500 0.000078 0.607410 1.036163 -999 -999 -999
0.001461 0.000500 0.000078 0.623503 1.035116 -999 -999 -999
0.001420 0.000500 0.000078 0.470808 1.039726 -999 -999 -999
0.001417 0.000500 0.000078 0.458458 1.027379 -999 -999 -999
0.001405 0.000500 0.000079 0.416916 1.040758 -999 -999 -999
0.001411 0.000500 0.000079 0.436003 1.043574 -999 -999 -999
0.001392 0.000500 0.000080 0.365269 1.034142 -999 -999 -999
0.001397 0.000500 0.000080 0.386976 1.021853 -999 -999 -999
0.001379 0.000500 0.000082 0.317740 1.051405 -999 -999 -999
0.001375 0.000500 0.000082 0.302769 1.055811 -999 -999 -999
0.001363 0.000500 0.000084 0.257859 1.060953 -999 -999 -999
0.001377 0.000500 0.000082 0.312126 1.054437 -999 -999 -999
0.001378 0.000500 0.000082 0.313997 1.054047 -999 -999 -999
0.001559 0.000500 0.000080 0.990644 1.055958 -999 -999 -999
0.001556 0.000500 0.000081 0.981662 1.027024 -999 -999 -999
0.001550 0.000500 0.000083 0.957710 1.017014 -999 -999 -999
0.001550 0.000500 0.000083 0.957335 1.015991 -999 -999 -999
0.001550 0.000500 0.000083 0.957335 1.015958 -999 -999 -999
0.001536 0.000500 0.000086 0.907186 0.949649 -999 -999 -999
0.001530 0.000500 0.000087 0.882111 0.950567 -999 -999 -999
0.001528 0.000500 0.000088 0.875374 0.949876 -999 -999 -999
0.001535 0.000500 0.000086 0.900449 0.955014 -999 -999 -999
0.001510 0.000500 0.000091 0.807260 0.920447 -999 -999 -999
0.001515 0.000500 0.000090 0.828219 0.912733 -999 -999 -999
0.001519 0.000500 0.000089 0.842066 0.920187 -999 -999 -999
0.001523 0.000500 0.000089 0.857410 0.941425 -999 -999 -999
0.001295 0.000500 0.000099 0.004491 1.265589 -999 -999 -999
0.001295 0.000500 0.000099 0.004865 1.266721 -999 -999 -999
0.001295 0.000500 0.000099 0.005240 1.266458 -999 -999 -999
0.001297 0.000500 0.000098 0.010479 1.281179 -999 -999 -999
0.001298 0.000500 0.000098 0.015719 1.258058 -999 -999 -999
0.001299 0.000500 0.000097 0.019461 1.256463 -999 -999 -999
0.001302 0.000500 0.000096 0.030689 1.225142 -999 -999 -999
0.001303 0.000500 0.000096 0.032934 1.219805 -999 -999 -999
0.001309 0.000500 0.000094 0.055763 1.178768 -999 -999 -999
0.001309 0.000500 0.000094 0.056886 1.176032 -999 -999 -999
0.001317 0.000500 0.000092 0.087949 1.164016 -999 -999 -999
0.001324 0.000500 0.000090 0.113398 1.149263 -999 -999 -999
0.001339 0.000500 0.000087 0.170284 1.119342 -999 -999 -999
0.001348 0.000500 0.000086 0.203219 1.088084 -999 -999 -999
0.001361 0.000500 0.000084 0.249626 1.066779 -999 -999 -999
0.001358 0.000500 0.000084 0.238024 1.069268 -999 -999 -999
0.001295 0.000500 0.000103 0.003368 0.935477 -999 -999 -999
0.001295 0.000500 0.000103 0.004117 0.890140 -999 -999 -999
0.001296 0.000500 0.000104 0.005988 0.834283 -999 -999 -999
0.001296 0.000500 0.000104 0.008234 0.769334 -999 -999 -999
0.001297 0.000500 0.000104 0.010105 0.732329 -999 -999 -999
0.001297 0.000500 0.000105 0.012725 0.683510 -999 -999 -999
0.001298 0.000500 0.000105 0.016093 0.609249 -999 -999 -999
0.001299 0.000500 0.000105 0.017590 0.585625 -999 -999 -999
0.001302 0.000500 0.000106 0.028443 0.578117 -999 -999 -999
0.001302 0.000500 0.000106 0.029192 0.571668 -999 -999 -999
0.001302 0.000500 0.000106 0.031063 0.567018 -999 -999 -999
0.001307 0.000500 0.000107 0.050150 0.503877 -999 -999 -999
0.001313 0.000500 0.000108 0.071108 0.516264 -999 -999 -999
0.001316 0.000500 0.000108 0.083084 0.529802 -999 -999 -999
0.001328 0.000500 0.000108 0.125749 0.508048 -999 -999 -999
0.001329 0.000500 0.000109 0.130988 0.504624 -999 -999 -999
0.001334 0.000500 0.000109 0.151198 0.488369 -999 -999 -999
0.001341 0.000500 0.000109 0.177021 0.474474 -999 -999 -999
0.001363 0.000500 0.000108 0.258982 0.510606 -999 -999 -999
0.001367 0.000500 0.000108 0.273578 0.502508 -999 -999 -999
0.001344 0.000500 0.000109 0.185629 0.496134 -999 -999 -999
0.001350 0.000500 0.000109 0.211078 0.536248 -999 -999 -999
0.001357 0.000500 0.000108 0.233907 0.532136 -999 -999 -999
0.001465 0.000500 0.000100 0.640719 0.818773 -999 -999 -999
0.001464 0.000500 0.000100 0.638099 0.817400 -999 -999 -999
0.001464 0.000500 0.000100 0.635853 0.817443 -999 -999 -999
0.001453 0.000500 0.000101 0.593937 0.817160 -999 -999 -999
0.001464 0.000500 0.000100 0.637350 0.818423 -999 -999 -999
0.001403 0.000500 0.000106 0.408308 0.823803 -999 -999 -999
0.001403 0.000500 0.000106 0.407560 0.821626 -999 -999 -999
0.001390 0.000500 0.000107 0.357784 0.556884 -999 -999 -999
0.001388 0.000500 0.000107 0.352545 0.547975 -999 -999 -999
0.001396 0.000500 0.000107 0.380988 0.692358 -999 -999 -999
0.001370 0.000500 0.000108 0.285554 0.499754 -999 -999 -999
0.001378 0.000500 0.000108 0.313249 0.516815 -999 -999 -999
0.001387 0.000500 0.000107 0.346557 0.539845 -999 -999 -999
0.001448 0.000500 0.000102 0.577470 0.811546 -999 -999 -999
0.001441 0.000500 0.000103 0.550150 0.804214 -999 -999 -999
0.001438 0.000500 0.000103 0.540419 0.800324 -999 -999 -999
0.001432 0.000500 0.000104 0.516841 0.819249 -999 -999 -999
0.001427 0.000500 0.000104 0.495883 0.786953 -999 -999 -999
0.001422 0.000500 0.000104 0.480539 0.800742 -999 -999 -999
0.001403 0.000500 0.000106 0.409431 0.824210 -999 -999 -999
0.001419 0.000500 0.000105 0.469686 0.803074 -999 -999 -999
0.001413 0.000500 0.000105 0.444237 0.839278 -999 -999 -999


