#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
-999 -999 -999 0.918850 -0.592002 -999 -999 -999
-999 -999 -999 0.899846 -0.593429 -999 -999 -999
-999 -999 -999 0.887006 -0.595649 -999 -999 -999
-999 -999 -999 0.826913 -0.562782 -999 -999 -999
-999 -999 -999 0.006163 0.173249 -999 -999 -999
-999 -999 -999 0.006163 0.168013 -999 -999 -999
-999 -999 -999 0.006677 0.160286 -999 -999 -999
-999 -999 -999 0.011813 0.040977 -999 -999 -999
-999 -999 -999 0.015408 0.010104 -999 -999 -999
-999 -999 -999 0.017976 -0.031605 -999 -999 -999
-999 -999 -999 0.022085 -0.091496 -999 -999 -999
-999 -999 -999 0.037494 -0.133805 -999 -999 -999
-999 -999 -999 0.042116 -0.145896 -999 -999 -999
-999 -999 -999 0.046739 -0.164933 -999 -999 -999
-999 -999 -999 0.082178 -0.243329 -999 -999 -999
-999 -999 -999 0.087314 -0.255156 -999 -999 -999
-999 -999 -999 0.130457 -0.307740 -999 -999 -999
-999 -999 -999 0.143811 -0.328969 -999 -999 -999
-999 -999 -999 0.204931 -0.341818 -999 -999 -999
-999 -999 -999 0.219825 -0.333636 -999 -999 -999
-999 -999 -999 0.238829 -0.340638 -999 -999 -999
-999 -999 -999 0.299949 -0.362985 -999 -999 -999
-999 -999 -999 0.417565 -0.408547 -999 -999 -999
-999 -999 -999 0.411402 -0.405438 -999 -999 -999
-999 -999 -999 0.389317 -0.397758 -999 -999 -999
-999 -999 -999 0.339497 -0.379363 -999 -999 -999
-999 -999 -999 0.523883 -0.469156 -999 -999 -999
-999 -999 -999 0.491525 -0.451162 -999 -999 -999
-999 -999 -999 0.429379 -0.413720 -999 -999 -999
-999 -999 -999 0.601952 -0.491698 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=0.409600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.273350 -999 -999 -999
-999 -999 -999 0.989728 -0.422308 -999 -999 -999
-999 -999 -999 0.987160 -0.460913 -999 -999 -999
-999 -999 -999 0.609142 -0.494648 -999 -999 -999
-999 -999 -999 0.604006 -0.492735 -999 -999 -999
-999 -999 -999 0.740627 -0.542770 -999 -999 -999
-999 -999 -999 0.702106 -0.531393 -999 -999 -999
-999 -999 -999 0.821263 -0.565470 -999 -999 -999
-999 -999 -999 0.824345 -0.566313 -999 -999 -999
-999 -999 -999 0.000514 0.375972 -999 -999 -999
-999 -999 -999 0.000000 0.384827 -999 -999 -999
-999 -999 -999 0.002054 0.343681 -999 -999 -999
-999 -999 -999 0.985619 -0.465039 -999 -999 -999
-999 -999 -999 0.969697 -0.529455 -999 -999 -999
-999 -999 -999 0.951721 -0.563503 -999 -999 -999
-999 -999 -999 0.943503 -0.580806 -999 -999 -999
-999 -999 -999 0.918850 -0.588373 -999 -999 -999
-999 -999 -999 0.899846 -0.593088 -999 -999 -999
-999 -999 -999 0.887006 -0.597219 -999 -999 -999
-999 -999 -999 0.826913 -0.567635 -999 -999 -999
-999 -999 -999 0.006163 0.159772 -999 -999 -999
-999 -999 -999 0.006163 0.153936 -999 -999 -999
-999 -999 -999 0.006677 0.146245 -999 -999 -999
-999 -999 -999 0.011813 0.027427 -999 -999 -999
-999 -999 -999 0.015408 -0.006846 -999 -999 -999
-999 -999 -999 0.017976 -0.048719 -999 -999 -999
-999 -999 -999 0.022085 -0.103101 -999 -999 -999
-999 -999 -999 0.037494 -0.140373 -999 -999 -999
-999 -999 -999 0.042116 -0.150828 -999 -999 -999
-999 -999 -999 0.046739 -0.170428 -999 -999 -999
-999 -999 -999 0.082178 -0.243681 -999 -999 -999
-999 -999 -999 0.087314 -0.255857 -999 -999 -999
-999 -999 -999 0.130457 -0.307744 -999 -999 -999
-999 -999 -999 0.143811 -0.329263 -999 -999 -999
-999 -999 -999 0.204931 -0.340468 -999 -999 -999
-999 -999 -999 0.219825 -0.328779 -999 -999 -999
-999 -999 -999 0.238829 -0.336161 -999 -999 -999
-999 -999 -999 0.299949 -0.359633 -999 -999 -999
-999 -999 -999 0.417565 -0.412010 -999 -999 -999
-999 -999 -999 0.411402 -0.409423 -999 -999 -999
-999 -999 -999 0.389317 -0.400661 -999 -999 -999
-999 -999 -999 0.339497 -0.378548 -999 -999 -999
-999 -999 -999 0.523883 -0.472648 -999 -999 -999
-999 -999 -999 0.491525 -0.452033 -999 -999 -999
-999 -999 -999 0.429379 -0.417128 -999 -999 -999
-999 -999 -999 0.601952 -0.492508 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=0.614400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.246030 -999 -999 -999
-999 -999 -999 0.989728 -0.396630 -999 -999 -999
-999 -999 -999 0.987160 -0.435457 -999 -999 -999
-999 -999 -999 0.609142 -0.486500 -999 -999 -999
-999 -999 -999 0.604006 -0.484339 -999 -999 -999
-999 -999 -999 0.740627 -0.544031 -999 -999 -999
-999 -999 -999 0.702106 -0.525922 -999 -999 -999
-999 -999 -999 0.821263 -0.563204 -999 -999 -999
-999 -999 -999 0.824345 -0.564055 -999 -999 -999
-999 -999 -999 0.000514 0.374256 -999 -999 -999
-999 -999 -999 0.000000 0.383292 -999 -999 -999
-999 -999 -999 0.002054 0.337256 -999 -999 -999
-999 -999 -999 0.985619 -0.440053 -999 -999 -999
-999 -999 -999 0.969697 -0.509004 -999 -999 -999
-999 -999 -999 0.951721 -0.548022 -999 -999 -999
-999 -999 -999 0.943503 -0.568159 -999 -999 -999
-999 -999 -999 0.918850 -0.579246 -999 -999 -999
-999 -999 -999 0.899846 -0.587242 -999 -999 -999
-999 -999 -999 0.887006 -0.592306 -999 -999 -999
-999 -999 -999 0.826913 -0.565140 -999 -999 -999
-999 -999 -999 0.006163 0.139492 -999 -999 -999
-999 -999 -999 0.006163 0.133329 -999 -999 -999
-999 -999 -999 0.006677 0.126092 -999 -999 -999
-999 -999 -999 0.011813 0.014456 -999 -999 -999
-999 -999 -999 0.015408 -0.019762 -999 -999 -999
-999 -999 -999 0.017976 -0.061999 -999 -999 -999
-999 -999 -999 0.022085 -0.119726 -999 -999 -999
-999 -999 -999 0.037494 -0.160399 -999 -999 -999
-999 -999 -999 0.042116 -0.171444 -999 -999 -999
-999 -999 -999 0.046739 -0.194788 -999 -999 -999
-999 -999 -999 0.082178 -0.256122 -999 -999 -999
-999 -999 -999 0.087314 -0.267333 -999 -999 -999
-999 -999 -999 0.130457 -0.315179 -999 -999 -999
-999 -999 -999 0.143811 -0.333593 -999 -999 -999
-999 -999 -999 0.204931 -0.343320 -999 -999 -999
-999 -999 -999 0.219825 -0.328664 -999 -999 -999
-999 -999 -999 0.238829 -0.335333 -999 -999 -999
-999 -999 -999 0.299949 -0.358639 -999 -999 -999
-999 -999 -999 0.417565 -0.407897 -999 -999 -999
-999 -999 -999 0.411402 -0.405611 -999 -999 -999
-999 -999 -999 0.389317 -0.397493 -999 -999 -999
-999 -999 -999 0.339497 -0.377706 -999 -999 -999
-999 -999 -999 0.523883 -0.469939 -999 -999 -999
-999 -999 -999 0.491525 -0.450262 -999 -999 -999
-999 -999 -999 0.429379 -0.413490 -999 -999 -999
-999 -999 -999 0.601952 -0.484135 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=0.819200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.219338 -999 -999 -999
-999 -999 -999 0.989728 -0.367304 -999 -999 -999
-999 -999 -999 0.987160 -0.405396 -999 -999 -999
-999 -999 -999 0.609142 -0.479545 -999 -999 -999
-999 -999 -999 0.604006 -0.477274 -999 -999 -999
-999 -999 -999 0.740627 -0.540464 -999 -999 -999
-999 -999 -999 0.702106 -0.520231 -999 -999 -999
-999 -999 -999 0.821263 -0.556587 -999 -999 -999
-999 -999 -999 0.824345 -0.557265 -999 -999 -999
-999 -999 -999 0.000514 0.366338 -999 -999 -999
-999 -999 -999 0.000000 0.375629 -999 -999 -999
-999 -999 -999 0.002054 0.325447 -999 -999 -999
-999 -999 -999 0.985619 -0.410445 -999 -999 -999
-999 -999 -999 0.969697 -0.481331 -999 -999 -999
-999 -999 -999 0.951721 -0.524831 -999 -999 -999
-999 -999 -999 0.943503 -0.548467 -999 -999 -999
-999 -999 -999 0.918850 -0.562409 -999 -999 -999
-999 -999 -999 0.899846 -0.573394 -999 -999 -999
-999 -999 -999 0.887006 -0.579424 -999 -999 -999
-999 -999 -999 0.826913 -0.558091 -999 -999 -999
-999 -999 -999 0.006163 0.127556 -999 -999 -999
-999 -999 -999 0.006163 0.121520 -999 -999 -999
-999 -999 -999 0.006677 0.114356 -999 -999 -999
-999 -999 -999 0.011813 0.004138 -999 -999 -999
-999 -999 -999 0.015408 -0.028789 -999 -999 -999
-999 -999 -999 0.017976 -0.069589 -999 -999 -999
-999 -999 -999 0.022085 -0.128171 -999 -999 -999
-999 -999 -999 0.037494 -0.172791 -999 -999 -999
-999 -999 -999 0.042116 -0.185022 -999 -999 -999
-999 -999 -999 0.046739 -0.210727 -999 -999 -999
-999 -999 -999 0.082178 -0.279625 -999 -999 -999
-999 -999 -999 0.087314 -0.293364 -999 -999 -999
-999 -999 -999 0.130457 -0.334042 -999 -999 -999
-999 -999 -999 0.143811 -0.351611 -999 -999 -999
-999 -999 -999 0.204931 -0.356634 -999 -999 -999
-999 -999 -999 0.219825 -0.336045 -999 -999 -999
-999 -999 -999 0.238829 -0.341860 -999 -999 -999
-999 -999 -999 0.299949 -0.364184 -999 -999 -999
-999 -999 -999 0.417565 -0.411971 -999 -999 -999
-999 -999 -999 0.411402 -0.410224 -999 -999 -999
-999 -999 -999 0.389317 -0.401862 -999 -999 -999
-999 -999 -999 0.339497 -0.381854 -999 -999 -999
-999 -999 -999 0.523883 -0.468513 -999 -999 -999
-999 -999 -999 0.491525 -0.451694 -999 -999 -999
-999 -999 -999 0.429379 -0.417304 -999 -999 -999
-999 -999 -999 0.601952 -0.477314 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=1.024000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.193344 -999 -999 -999
-999 -999 -999 0.989728 -0.339426 -999 -999 -999
-999 -999 -999 0.987160 -0.376890 -999 -999 -999
-999 -999 -999 0.609142 -0.475670 -999 -999 -999
-999 -999 -999 0.604006 -0.473430 -999 -999 -999
-999 -999 -999 0.740627 -0.533961 -999 -999 -999
-999 -999 -999 0.702106 -0.513255 -999 -999 -999
-999 -999 -999 0.821263 -0.548252 -999 -999 -999
-999 -999 -999 0.824345 -0.548806 -999 -999 -999
-999 -999 -999 0.000514 0.361930 -999 -999 -999
-999 -999 -999 0.000000 0.370712 -999 -999 -999
-999 -999 -999 0.002054 0.320457 -999 -999 -999
-999 -999 -999 0.985619 -0.382317 -999 -999 -999
-999 -999 -999 0.969697 -0.453435 -999 -999 -999
-999 -999 -999 0.951721 -0.499448 -999 -999 -999
-999 -999 -999 0.943503 -0.525243 -999 -999 -999
-999 -999 -999 0.918850 -0.542123 -999 -999 -999
-999 -999 -999 0.899846 -0.555933 -999 -999 -999
-999 -999 -999 0.887006 -0.562808 -999 -999 -999
-999 -999 -999 0.826913 -0.549268 -999 -999 -999
-999 -999 -999 0.006163 0.113894 -999 -999 -999
-999 -999 -999 0.006163 0.107585 -999 -999 -999
-999 -999 -999 0.006677 0.100621 -999 -999 -999
-999 -999 -999 0.011813 -0.003906 -999 -999 -999
-999 -999 -999 0.015408 -0.043161 -999 -999 -999
-999 -999 -999 0.017976 -0.086543 -999 -999 -999
-999 -999 -999 0.022085 -0.144015 -999 -999 -999
-999 -999 -999 0.037494 -0.181903 -999 -999 -999
-999 -999 -999 0.042116 -0.192053 -999 -999 -999
-999 -999 -999 0.046739 -0.214848 -999 -999 -999
-999 -999 -999 0.082178 -0.282184 -999 -999 -999
-999 -999 -999 0.087314 -0.297450 -999 -999 -999
-999 -999 -999 0.130457 -0.348210 -999 -999 -999
-999 -999 -999 0.143811 -0.368321 -999 -999 -999
-999 -999 -999 0.204931 -0.373970 -999 -999 -999
-999 -999 -999 0.219825 -0.352563 -999 -999 -999
-999 -999 -999 0.238829 -0.359632 -999 -999 -999
-999 -999 -999 0.299949 -0.379035 -999 -999 -999
-999 -999 -999 0.417565 -0.421083 -999 -999 -999
-999 -999 -999 0.411402 -0.420208 -999 -999 -999
-999 -999 -999 0.389317 -0.412748 -999 -999 -999
-999 -999 -999 0.339497 -0.394612 -999 -999 -999
-999 -999 -999 0.523883 -0.471593 -999 -999 -999
-999 -999 -999 0.491525 -0.453963 -999 -999 -999
-999 -999 -999 0.429379 -0.425743 -999 -999 -999
-999 -999 -999 0.601952 -0.473850 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=1.228800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 -0.167851 -999 -999 -999
-999 -999 -999 0.989728 -0.310174 -999 -999 -999
-999 -999 -999 0.987160 -0.346531 -999 -999 -999
-999 -999 -999 0.609142 -0.478865 -999 -999 -999
-999 -999 -999 0.604006 -0.476811 -999 -999 -999
-999 -999 -999 0.740627 -0.530749 -999 -999 -999
-999 -999 -999 0.702106 -0.514676 -999 -999 -999
-999 -999 -999 0.821263 -0.541740 -999 -999 -999
-999 -999 -999 0.824345 -0.542154 -999 -999 -999
-999 -999 -999 0.000514 0.358602 -999 -999 -999
-999 -999 -999 0.000000 0.368166 -999 -999 -999
-999 -999 -999 0.002054 0.312457 -999 -999 -999
-999 -999 -999 0.985619 -0.352267 -999 -999 -999
-999 -999 -999 0.969697 -0.423009 -999 -999 -999
-999 -999 -999 0.951721 -0.471287 -999 -999 -999
-999 -999 -999 0.943503 -0.500051 -999 -999 -999
-999 -999 -999 0.918850 -0.520762 -999 -999 -999
-999 -999 -999 0.899846 -0.538620 -999 -999 -999
-999 -999 -999 0.887006 -0.546514 -999 -999 -999
-999 -999 -999 0.826913 -0.542229 -999 -999 -999
-999 -999 -999 0.006163 0.104693 -999 -999 -999
-999 -999 -999 0.006163 0.098366 -999 -999 -999
-999 -999 -999 0.006677 0.090929 -999 -999 -999
-999 -999 -999 0.011813 -0.018580 -999 -999 -999
-999 -999 -999 0.015408 -0.054998 -999 -999 -999
-999 -999 -999 0.017976 -0.094889 -999 -999 -999
-999 -999 -999 0.022085 -0.152416 -999 -999 -999
-999 -999 -999 0.037494 -0.194018 -999 -999 -999
-999 -999 -999 0.042116 -0.205354 -999 -999 -999
-999 -999 -999 0.046739 -0.228136 -999 -999 -999
-999 -999 -999 0.082178 -0.284496 -999 -999 -999
-999 -999 -999 0.087314 -0.298998 -999 -999 -999
