TITLE     = "Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Wal"
VARIABLES = "X" "Y" "Z" "X/C" "CP_AVG" "CP_RMS" "CF_AVG" "CF_RMS"
DATASETAUXDATA Alpha="3.5"
DATASETAUXDATA BasicAlgorithm="RANS"
DATASETAUXDATA CLtotal="-999"
DATASETAUXDATA Common.DensityVar="4"
DATASETAUXDATA Common.PressureVar="8"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="FALSE"
DATASETAUXDATA Common.VVar="6"
DATASETAUXDATA Common.WVar="7"
DATASETAUXDATA CtuAvg="-999"
DATASETAUXDATA CtuStart="-999"
DATASETAUXDATA Dt="1e-6"
DATASETAUXDATA Email="fulvio.sartor@onera.fr"
DATASETAUXDATA Eta="-999"
DATASETAUXDATA GridFileName="-999"
DATASETAUXDATA GridId="ONERA O-grid Unstructured"
DATASETAUXDATA GridLevel="TODO_GridLevel"
DATASETAUXDATA Institution="ONERA"
DATASETAUXDATA Mach="0.73"
DATASETAUXDATA Name="F. Sartor"
DATASETAUXDATA Notes=" "
DATASETAUXDATA ParticipantID="009"
DATASETAUXDATA Re="3e+6"
DATASETAUXDATA SolverName="elsA"
DATASETAUXDATA SubmissionDate="2026-05"
DATASETAUXDATA Tstatic="271.0"
DATASETAUXDATA TurbulenceModel="SA"
ZONE T="009.35 elsA ONERA-O Unstructured GRID LEVEL 1"
 STRANDID=2, SOLUTIONTIME=314008
 I=418, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 AUXDATA GridLevel="1"
 DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
 1.342369135E-01 1.303419643E-01 1.264044374E-01 1.224324484E-01 1.184343781E-01
 1.144195577E-01 1.103964589E-01 1.063749065E-01 1.023636563E-01 9.837232490E-02
 9.440954750E-02 9.048466341E-02 8.660573622E-02 8.278156207E-02 7.901971628E-02
 7.532775015E-02 7.171252085E-02 6.818014419E-02 6.473627621E-02 6.138571694E-02
 5.813267374E-02 5.498051878E-02 5.193198322E-02 4.898929771E-02 4.615376251E-02
 4.342622094E-02 4.080722425E-02 3.829636873E-02 3.589291674E-02 3.359590003E-02
 3.140371640E-02 2.931430446E-02 2.732551059E-02 2.543505308E-02 2.364002373E-02
 2.193763705E-02 2.032530373E-02 1.879985776E-02 1.735821548E-02 1.599747224E-02
 1.471468231E-02 1.350646059E-02 1.236964103E-02 1.130133344E-02 1.029819554E-02
 9.356936669E-03 8.474454993E-03 7.647868220E-03 6.874344088E-03 6.151031028E-03
 5.475433658E-03 4.845261043E-03 4.258465426E-03 3.713183657E-03 3.207781380E-03
 2.740858542E-03 2.311290578E-03 1.918205872E-03 1.561107470E-03 1.239840497E-03
 9.547176338E-04 7.064711995E-04 4.964297611E-04 3.264412489E-04 1.949832012E-04
 1.012105346E-04 4.146475740E-05 1.088544527E-05 0.000000000E+00 9.469619397E-06
 3.373482216E-05 7.454840821E-05 1.315432245E-04 2.036077456E-04 2.909209865E-04
 3.938074745E-04 5.127356367E-04 6.483173591E-04 8.012078081E-04 9.730506381E-04
 1.163452616E-03 1.372952968E-03 1.601990257E-03 1.850866829E-03 2.119740358E-03
 2.408679666E-03 2.717647620E-03 3.046578113E-03 3.395362521E-03 3.763882812E-03
 4.152038781E-03 4.559766671E-03 4.987024542E-03 5.433812100E-03 5.900165541E-03
 6.386153432E-03 6.891886690E-03 7.417505913E-03 7.963189564E-03 8.529135131E-03
 9.115598732E-03 9.723022657E-03 1.035147944E-02 1.100125834E-02 1.167267934E-02
 1.236607907E-02 1.308180141E-02 1.382020497E-02 1.458165503E-02 1.536651746E-02
 1.617516778E-02 1.700799321E-02 1.786536052E-02 1.874778785E-02 1.965552086E-02
 2.058892166E-02 2.154836781E-02 2.253422277E-02 2.354683825E-02 2.458655096E-02
 2.565368481E-02 2.674855596E-02 2.787145073E-02 2.902271460E-02 3.020255800E-02
 3.141119600E-02 3.264884949E-02 3.391571166E-02 3.521195007E-02 3.653770620E-02
 3.789309067E-02 3.927817858E-02 4.069302302E-02 4.213768679E-02 4.361207344E-02
 4.511611978E-02 4.664972088E-02 4.821273047E-02 4.980495996E-02 5.142617722E-02
 5.307610524E-02 5.475443675E-02 5.646082191E-02 5.819480376E-02 5.995591548E-02
 6.174364408E-02 6.355742589E-02 6.539664668E-02 6.726064462E-02 6.914873273E-02
 7.106014105E-02 7.299404125E-02 7.494957840E-02 7.692585144E-02 7.892191400E-02
 8.093677721E-02 8.296943316E-02 8.501877474E-02 8.708369050E-02 8.916303207E-02
 9.125561690E-02 9.336023581E-02 9.547563898E-02 9.760054674E-02 9.973366565E-02
 1.018736824E-01 1.040192557E-01 1.061690272E-01 1.083216462E-01 1.104757502E-01
 1.126299605E-01 1.147828558E-01 1.169331102E-01 1.190793683E-01 1.212202452E-01
 1.233543332E-01 1.254803923E-01 1.275971327E-01 1.297031055E-01 1.317971488E-01
 1.338780993E-01 1.359446089E-01 1.379954958E-01 1.400298055E-01 1.420462556E-01
 1.440437536E-01 1.460215531E-01 1.479783259E-01 1.499133091E-01 1.518259012E-01
 1.537145048E-01 1.555791035E-01 1.574186241E-01 1.592322395E-01 1.610199217E-01
 1.627803392E-01 1.645141655E-01 1.662199753E-01 1.678979591E-01 1.695474623E-01
 1.711681594E-01 1.727600714E-01 1.743225565E-01 1.758560736E-01 1.773598981E-01
 1.788346512E-01 1.802797543E-01 1.816957585E-01 1.830823710E-01 1.844399479E-01
 1.857685196E-01 1.870682301E-01 1.883393952E-01 1.895819973E-01 1.907965592E-01
 1.919829616E-01 1.931417942E-01 1.942731598E-01 1.953774162E-01 1.964549162E-01
 1.975058776E-01 1.985307710E-01 1.995298798E-01 2.005035944E-01 2.014523270E-01
 2.023764059E-01 2.032762877E-01 2.041523716E-01 2.050050350E-01 2.058347438E-01
 2.066419098E-01 2.074269426E-01 2.081903025E-01 2.089324106E-01 2.096536822E-01
 2.103545826E-01 2.110355364E-01 2.116969635E-01 2.123393126E-01 2.129630168E-01
 2.135684831E-01 2.141561375E-01 2.147264250E-01 2.152797432E-01 2.158164877E-01
 2.163370865E-01 2.168419558E-01 2.173314603E-01 2.178059813E-01 2.182659333E-01
 2.187117051E-01 2.191436408E-01 2.195620794E-01 2.199674228E-01 2.203600318E-01
 2.207402500E-01 2.211083346E-01 2.214646835E-01 2.218096322E-01 2.221434957E-01
 2.224665607E-01 2.227790839E-01 2.230814263E-01 2.233738739E-01 2.236567059E-01
 2.239301645E-01 2.241945089E-01 2.244500278E-01 2.246969805E-01 2.249356115E-01
 2.251661549E-01 2.253887977E-01 2.256038117E-01 2.258114191E-01 2.260118324E-01
 2.262052581E-01 2.263918812E-01 2.265718864E-01 2.267454882E-01 2.269128703E-01
 2.270742102E-01 2.272296801E-01 2.273794372E-01 2.275236374E-01 2.276624525E-01
 2.277960352E-01 2.279245326E-01 2.280480867E-01 2.281668321E-01 2.282808974E-01
 2.283904160E-01 2.284955162E-01 2.285963184E-01 2.286929392E-01 2.287854912E-01
 2.288740806E-01 2.289588124E-01 2.290397907E-01 2.291171140E-01 2.291908771E-01
 2.292611714E-01 2.293280852E-01 2.293917019E-01 2.294521046E-01 2.295093733E-01
 2.295635848E-01 2.296148126E-01 2.296631280E-01 2.297085994E-01 2.297512928E-01
 2.297912731E-01 2.298286004E-01 2.298633334E-01 2.298955290E-01 2.299252418E-01
 2.299525245E-01 2.299774276E-01 2.300000000E-01
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 -1.000000000E-02 -1.000000000E-02 -1.000000000E-02
 5.749310133E-04 5.519310133E-04 5.160670179E-04 4.672313132E-04 4.064453723E-04
 3.360577252E-04 2.596173376E-04 1.813695970E-04 1.055178557E-04 3.553423581E-05
 -3.484423052E-05 -1.048278504E-04 -1.806795917E-04 -2.589273323E-04 -3.353677199E-04
 -4.057553670E-04 -4.665413079E-04 -5.153770126E-04 -5.512410081E-04 -5.742410080E-04
 -5.716280383E-04 -5.685071560E-04 -5.648556476E-04 -5.606490564E-04 -5.558610654E-04
 -5.504633734E-04 -5.444255631E-04 -5.377149614E-04 -5.302964906E-04 -5.221325120E-04
 -5.131826613E-04 -5.034036653E-04 -4.928973684E-04 -4.815212908E-04 -4.691860297E-04
 -4.558340011E-04 -4.414674082E-04 -4.262702510E-04 -4.099040752E-04 -3.922881023E-04
 -3.734258802E-04 -3.534914512E-04 -3.322815987E-04 -3.095333196E-04 -2.851517992E-04
 -2.597709997E-04 -2.327416118E-04 -2.038250300E-04 -1.731013813E-04 -1.413360214E-04
 -1.073962495E-04 -7.138672768E-05 -3.381553100E-05 5.663530622E-06 4.756032983E-05
 9.104462710E-05 1.364802649E-04 1.844367863E-04 2.337917683E-04 2.854860312E-04
 3.390092597E-04 3.940551198E-04 4.517790322E-04 5.096137671E-04 5.700190488E-04
 6.302131416E-04 6.921521477E-04 7.533596597E-04 8.153029002E-04 8.750061943E-04
 9.347807368E-04 9.892306641E-04 1.043178079E-03 1.087817558E-03 1.127673615E-03
 1.159752745E-03 1.177182167E-03 1.184040990E-03 1.175824956E-03 1.143083316E-03
 1.089975285E-03 1.013064847E-03 9.080701339E-04 7.646176377E-04 5.870842936E-04
 3.726882669E-04 1.192569685E-04 -1.745223134E-04 -5.090203712E-04 -8.835695976E-04
 -1.296492756E-03 -1.745290656E-03 -2.226874832E-03 -2.737664506E-03 -3.273949911E-03
 -3.831785307E-03 -4.407202049E-03 -4.995857641E-03 -5.593300078E-03 -6.195484103E-03
 -6.797897587E-03 -7.394631425E-03 -7.983088611E-03 -8.558005842E-03 -9.113530488E-03
 -9.648776887E-03 -1.015509893E-02 -1.063362418E-02 -1.107666094E-02 -1.148475099E-02
 -1.185041448E-02 -1.217613543E-02 -1.245280123E-02 -1.268579919E-02 -1.286984734E-02
 -1.300744720E-02 -1.310141128E-02 -1.314806107E-02 -1.315499431E-02 -1.312349288E-02
 -1.305351579E-02 -1.295162176E-02 -1.281987495E-02 -1.265826407E-02 -1.247248044E-02
 -1.226466560E-02 -1.203420635E-02 -1.178585791E-02 -1.152203908E-02 -1.124343722E-02
 -1.095294112E-02 -1.065382318E-02 -1.034759266E-02 -1.003499696E-02 -9.719128853E-03
 -9.401017638E-03 -9.079993502E-03 -8.757841528E-03 -8.435354511E-03 -8.112305261E-03
 -7.788679270E-03 -7.466123617E-03 -7.145311714E-03 -6.826066905E-03 -6.509872605E-03
 -6.197998964E-03 -5.891198358E-03 -5.589744884E-03 -5.293978720E-03 -5.004450398E-03
 -4.720997877E-03 -4.443227881E-03 -4.170485342E-03 -3.902041469E-03 -3.637048464E-03
 -3.374591022E-03 -3.113682925E-03 -2.853383562E-03 -2.592705974E-03 -2.330790949E-03
 -2.066889187E-03 -1.800579040E-03 -1.531808597E-03 -1.261330716E-03 -9.926665300E-04
 -7.286808629E-04 -4.733105998E-04 -2.296513871E-04 0.000000000E+00 2.297582149E-04
 4.662787509E-04 7.087284608E-04 9.564512461E-04 1.209152655E-03 1.466373139E-03
 1.727622451E-03 1.992346716E-03 2.259895146E-03 2.529540614E-03 2.799835072E-03
 3.070479228E-03 3.340608017E-03 3.609372063E-03 3.875993011E-03 4.139804275E-03
 4.400240836E-03 4.656883602E-03 4.909408637E-03 5.157618410E-03 5.401420444E-03
 5.640792988E-03 5.875759682E-03 6.106408220E-03 6.332852544E-03 6.555235212E-03
 6.773726959E-03 6.988497991E-03 7.199735042E-03 7.407613405E-03 7.612333969E-03
 7.814006105E-03 8.012209615E-03 8.207689079E-03 8.400629544E-03 8.591164506E-03
 8.779408697E-03 8.965484836E-03 9.149487365E-03 9.331507288E-03 9.511649411E-03
 9.689987763E-03 9.866546285E-03 1.004143872E-02 1.021398634E-02 1.038485044E-02
 1.055411586E-02 1.072174393E-02 1.088772254E-02 1.105204511E-02 1.121472430E-02
 1.137576817E-02 1.153513820E-02 1.169288457E-02 1.184848337E-02 1.200223171E-02
 1.215426850E-02 1.230451566E-02 1.245291267E-02 1.259938587E-02 1.274383608E-02
 1.288616626E-02 1.302630946E-02 1.316408014E-02 1.329878163E-02 1.343100925E-02
 1.356063134E-02 1.368753516E-02 1.381160773E-02 1.393273147E-02 1.405078481E-02
 1.416564430E-02 1.427694310E-02 1.438418673E-02 1.448782705E-02 1.458775698E-02
 1.468382352E-02 1.477590548E-02 1.486390809E-02 1.494771032E-02 1.502659545E-02
 1.510056583E-02 1.516998773E-02 1.523474924E-02 1.529473735E-02 1.534984990E-02
 1.539993318E-02 1.544362920E-02 1.548211979E-02 1.551529030E-02 1.554306581E-02
 1.556539030E-02 1.558143241E-02 1.559074970E-02 1.559427346E-02 1.559196142E-02
 1.558378656E-02 1.556847191E-02 1.554596468E-02 1.551733569E-02 1.548259753E-02
 1.544115332E-02 1.539113739E-02 1.533485904E-02 1.527242190E-02 1.520274338E-02
 1.512437200E-02 1.503990892E-02 1.494956529E-02 1.484982915E-02 1.474329540E-02
 1.463121332E-02 1.451094540E-02 1.438278200E-02 1.424961839E-02 1.410863178E-02
 1.395981053E-02 1.380676748E-02 1.364503477E-02 1.347709701E-02 1.330599306E-02
 1.312369419E-02 1.293867441E-02 1.274741304E-02 1.254909234E-02 1.234922216E-02
 1.213829205E-02 1.192694710E-02 1.170765171E-02 1.148586367E-02 1.125958761E-02
 1.102943722E-02 1.079765691E-02 1.056193549E-02 1.032672383E-02 1.008861523E-02
 9.852345501E-03 9.614958561E-03 9.380087617E-03 9.146072987E-03 8.914834306E-03
 8.686198877E-03 8.460412119E-03 8.238553984E-03 8.019589623E-03 7.805415353E-03
 7.594125708E-03 7.387677589E-03 7.185154337E-03 6.986945084E-03 6.793298178E-03
 6.603605570E-03 6.418570332E-03 6.237769256E-03 6.061291876E-03 5.889278943E-03
 5.721345853E-03 5.557758251E-03 5.398416933E-03 5.243061324E-03 5.091882665E-03
 4.944742928E-03 4.801470934E-03 4.662154324E-03 4.526651626E-03 4.394782718E-03
 4.266636705E-03 4.142082149E-03 4.020964630E-03 3.903296291E-03 3.789015788E-03
 3.677935675E-03 3.569988896E-03 3.465232282E-03 3.363489838E-03 3.264599508E-03
 3.168601445E-03 3.075503881E-03 2.985065749E-03 2.897169756E-03 2.811909808E-03
 2.729278404E-03 2.649062858E-03 2.571060403E-03 2.495442482E-03 2.422200191E-03
 2.351269451E-03 2.282165060E-03 2.215192119E-03 2.150361743E-03 2.087614744E-03
 2.026782744E-03 1.967577080E-03 1.910300129E-03 1.854897677E-03 1.801316849E-03
 1.749349336E-03 1.698913020E-03 1.650120600E-03 1.602963950E-03 1.557396360E-03
 1.513351887E-03 1.470554232E-03 1.429203672E-03 1.389277499E-03 1.350734857E-03
 1.313536060E-03 1.277563777E-03 1.242730127E-03 1.209131375E-03 1.176736374E-03
 1.145510767E-03 1.115421245E-03 1.086386636E-03 1.058344938E-03 1.031344836E-03
 1.005362442E-03 9.803691808E-04 9.563374005E-04 9.332245479E-04 9.109811563E-04
 8.896056363E-04 8.690924931E-04 8.494182104E-04 8.305600489E-04 8.124960318E-04
 7.951921360E-04 7.786264559E-04 7.627923342E-04 7.476728855E-04 7.332495891E-04
 7.195045639E-04 7.064205514E-04 6.939718542E-04 6.821471900E-04 6.709352057E-04
 6.603217737E-04 6.502924615E-04 6.408333550E-04 6.319310780E-04 6.235729456E-04
 6.157525976E-04 6.084523488E-04 6.016594675E-04 5.953628444E-04 5.895517856E-04
 5.842159995E-04 5.793455839E-04 5.749310133E-04
